DNN,CUB,C000000000CUB1111111
KQL,ZAF,P300000000ZAF1111111
PIB,ROU,T100000000ROU1111111
KRK,KAZ,L000000000KAZ1111111
FOX,LBY,A100000000LBY1111111
SLE,LBY,H300000000LBY1111111
CMW,MSR,T400000000MSR1111111
NAL,GRD,S400000000GRD1111111
EYA,KHM,R200000000KHM1111111
YVX,BRB,I100000000BRB1111111
MZU,MMR,M400000000MMR1111111
BGU,REU,O000000000REU1111111
TRG,BIH,D100000000BIH1111111
XPH,ATA,H000000000ATA1111111
IWD,VIR,B400000000VIR1111111
ATX,BOL,Q100000000BOL1111111
MQV,COM,T200000000COM1111111
VJQ,MLT,K000000000MLT1111111
FUI,GIN,K400000000GIN1111111
SCD,AZE,F200000000AZE1111111
NEA,COG,E400000000COG1111111
AMO,GAB,M200000000GAB1111111
SDZ,BLM,K100000000BLM1111111
FJV,MLT,D200000000MLT1111111
YNP,BHR,A100000000BHR1111111
OLJ,SSD,M200000000SSD1111111
NHA,NFK,O100000000NFK1111111
EPF,IRN,F100000000IRN1111111
TTF,POL,I200000000POL1111111
YPD,BLM,N400000000BLM1111111
NGE,ISL,R000000000ISL1111111
MLJ,SRB,A100000000SRB1111111
BSA,AFG,A000000000AFG1111111
KGP,ARG,D000000000ARG1111111
XZI,AGO,Q300000000AGO1111111
JMV,MNP,Q100000000MNP1111111
WFL,COK,P100000000COK1111111
AJU,GGY,E000000000GGY1111111
FHB,TON,C200000000TON1111111
IXG,MYS,F200000000MYS1111111
WMO,TKM,H100000000TKM1111111
NZE,SGS,L200000000SGS1111111
EVY,KAZ,N000000000KAZ1111111
VFL,COD,C100000000COD1111111
HVH,NRU,A100000000NRU1111111
ROR,VEN,M100000000VEN1111111
UVW,TLS,E000000000TLS1111111
DHP,QAT,E100000000QAT1111111
DDK,SEN,L300000000SEN1111111
ULE,BDI,F300000000BDI1111111
UOR,NCL,Q000000000NCL1111111
BIA,GNB,I300000000GNB1111111
HOU,UMI,H000000000UMI1111111
AAD,TWN,T400000000TWN1111111
CCR,SOM,C300000000SOM1111111
LQN,LAO,T300000000LAO1111111
OKC,NAM,S300000000NAM1111111
MNK,ESP,P000000000ESP1111111
ODV,MAC,K400000000MAC1111111
OHP,LSO,S000000000LSO1111111
TGP,ATF,D200000000ATF1111111
HOZ,KAZ,I400000000KAZ1111111
YUZ,MHL,M200000000MHL1111111
QNM,DEU,R000000000DEU1111111
ZEQ,THA,M400000000THA1111111
KLZ,VEN,C300000000VEN1111111
FBM,AIA,P100000000AIA1111111
SXK,MDG,P300000000MDG1111111
JWO,LCA,M100000000LCA1111111
QXR,GIB,J100000000GIB1111111
GGK,KGZ,M300000000KGZ1111111
NWH,TUV,M400000000TUV1111111
UKA,NZL,G200000000NZL1111111
QHX,BLR,N300000000BLR1111111
HDD,MDA,N400000000MDA1111111
QUD,BRN,A000000000BRN1111111
TCU,DMA,I000000000DMA1111111
ZFW,BHR,R000000000BHR1111111
AOH,GIB,H200000000GIB1111111
AXN,ESP,H200000000ESP1111111
FML,PAK,C100000000PAK1111111
QGJ,SLE,T000000000SLE1111111
GFP,PNG,A400000000PNG1111111
JWX,AFG,L300000000AFG1111111
LDZ,BRB,J300000000BRB1111111
YSZ,GRL,N300000000GRL1111111
UAM,BVT,M000000000BVT1111111
SZC,MAR,E100000000MAR1111111
TZP,ZMB,L400000000ZMB1111111
QYU,SJM,Q200000000SJM1111111
NCJ,CRI,T000000000CRI1111111
NUE,TCA,N400000000TCA1111111
UGF,SSD,S000000000SSD1111111
BPT,TLS,L200000000TLS1111111
WRA,PHL,D100000000PHL1111111
YZT,VAT,O200000000VAT1111111
VWD,BHR,L400000000BHR1111111
GYV,KHM,H200000000KHM1111111
BPO,PRI,B300000000PRI1111111
ZBI,CMR,B100000000CMR1111111
BDX,GRL,D100000000GRL1111111
ZPG,LBN,R100000000LBN1111111
DAA,MDG,E300000000MDG1111111
XFL,EGY,G200000000EGY1111111
VEO,COL,L100000000COL1111111
GKK,DNK,G400000000DNK1111111
VKR,ROU,M400000000ROU1111111
TUZ,NLD,F300000000NLD1111111
LWG,UZB,C400000000UZB1111111
RPA,GTM,C000000000GTM1111111
OBX,OMN,K300000000OMN1111111
PQZ,TCD,E400000000TCD1111111
EXU,MDV,D200000000MDV1111111
EOB,DJI,Q300000000DJI1111111
RKN,LAO,B100000000LAO1111111
HUE,VEN,M300000000VEN1111111
PTT,PRK,J200000000PRK1111111
HPT,MDG,K400000000MDG1111111
VCG,CHN,J400000000CHN1111111
OIH,PER,Q400000000PER1111111
DAT,SVN,E400000000SVN1111111
FNP,NIU,K400000000NIU1111111
ALP,AGO,I100000000AGO1111111
WED,TJK,I200000000TJK1111111
IWR,GHA,C100000000GHA1111111
ILW,REU,K200000000REU1111111
MII,GNQ,H400000000GNQ1111111
PQZ,SXM,J100000000SXM1111111
JQE,ZWE,Q100000000ZWE1111111
ADM,WSM,T000000000WSM1111111
WRY,ARG,R100000000ARG1111111
GHP,POL,B200000000POL1111111
QHF,CYM,T100000000CYM1111111
SXG,NGA,D000000000NGA1111111
GQR,ATA,E300000000ATA1111111
NAJ,KGZ,O300000000KGZ1111111
XZT,MYS,M200000000MYS1111111
GLA,LBN,M200000000LBN1111111
KKZ,ALA,R200000000ALA1111111
GKJ,JPN,A300000000JPN1111111
IDU,AIA,K100000000AIA1111111
JYI,GGY,R100000000GGY1111111
YEB,GUF,Q200000000GUF1111111
HXN,MDG,E400000000MDG1111111
TBH,VNM,H400000000VNM1111111
RTC,BFA,I200000000BFA1111111
NYW,FRO,F200000000FRO1111111
ECM,MLI,I200000000MLI1111111
NOB,MDV,E300000000MDV1111111
UQN,JPN,S000000000JPN1111111
UWK,NFK,D100000000NFK1111111
JCN,PNG,O400000000PNG1111111
BRB,GUM,N100000000GUM1111111
REY,NCL,A300000000NCL1111111
VTG,FRO,M400000000FRO1111111
WCE,TUN,D000000000TUN1111111
SEA,RWA,S200000000RWA1111111
TTI,CAF,I300000000CAF1111111
VYA,IRQ,B000000000IRQ1111111
TMJ,SHN,B200000000SHN1111111
AEJ,HRV,G100000000HRV1111111
YST,STP,J200000000STP1111111
TDI,BLR,R200000000BLR1111111
CDH,MOZ,A000000000MOZ1111111
LVH,SAU,I100000000SAU1111111
TGW,URY,M300000000URY1111111
SMX,GTM,C100000000GTM1111111
SRM,PCN,F000000000PCN1111111
TAZ,TUR,I200000000TUR1111111
BEN,NFK,S300000000NFK1111111
DXT,KGZ,A100000000KGZ1111111
ECM,LVA,I300000000LVA1111111
GJI,MLT,P400000000MLT1111111
CLP,ARM,N400000000ARM1111111
LFD,BES,Q400000000BES1111111
WEN,ITA,K000000000ITA1111111
EFN,FRA,K200000000FRA1111111
ENZ,VIR,Q000000000VIR1111111
KBS,BLZ,C200000000BLZ1111111
SDY,MSR,E000000000MSR1111111
LDQ,BWA,T200000000BWA1111111
JWP,COK,E100000000COK1111111
DKJ,ARG,L200000000ARG1111111
ZMJ,ZAF,C300000000ZAF1111111
LPM,HKG,I300000000HKG1111111
VBA,BLZ,O300000000BLZ1111111
AAJ,PCN,Q000000000PCN1111111
IOY,PSE,H200000000PSE1111111
FVZ,IRL,C300000000IRL1111111
EIR,ESP,O100000000ESP1111111
YGG,SLB,B400000000SLB1111111
DXG,AZE,D400000000AZE1111111
YKF,PRI,K100000000PRI1111111
WLZ,YEM,R100000000YEM1111111
GRT,TWN,N300000000TWN1111111
VPW,UMI,M400000000UMI1111111
DDL,SOM,G000000000SOM1111111
NNR,AND,M300000000AND1111111
UJU,ABW,J400000000ABW1111111
KVY,ISR,C100000000ISR1111111
XQZ,FIN,Q000000000FIN1111111
SWI,COG,S400000000COG1111111
TEU,TJK,S400000000TJK1111111
CTC,BFA,Q000000000BFA1111111
YYJ,CPV,Q200000000CPV1111111
ODA,ISL,A000000000ISL1111111
UIQ,ALB,K100000000ALB1111111
OED,BLR,D100000000BLR1111111
MWC,ATF,D000000000ATF1111111
PSK,SWE,P300000000SWE1111111
WYQ,SVK,S300000000SVK1111111
CMD,ISR,H200000000ISR1111111
MAL,PRK,C400000000PRK1111111
VTZ,BFA,B200000000BFA1111111
XMO,JOR,I300000000JOR1111111
XWH,COL,O000000000COL1111111
MQG,ERI,O100000000ERI1111111
KPU,ARE,G400000000ARE1111111
RCY,VUT,L200000000VUT1111111
LIF,LUX,L000000000LUX1111111
VZJ,TUV,R200000000TUV1111111
EIW,BLR,I300000000BLR1111111
PTW,CAN,A300000000CAN1111111
TBN,FIN,M100000000FIN1111111
GGM,SYR,I200000000SYR1111111
TOK,DJI,R300000000DJI1111111
FSC,LIE,M100000000LIE1111111
XQM,ZAF,I100000000ZAF1111111
KQV,MLI,A100000000MLI1111111
MXZ,BOL,P400000000BOL1111111
FAQ,SJM,I100000000SJM1111111
RBV,IRL,Q400000000IRL1111111
IXV,IMN,P400000000IMN1111111
ARY,AFG,T200000000AFG1111111
GXN,TUN,R000000000TUN1111111
YXD,JAM,L100000000JAM1111111
FDU,GEO,D000000000GEO1111111
XLZ,MCO,N100000000MCO1111111
FRB,LBN,K300000000LBN1111111
XKP,TGO,R400000000TGO1111111
SXI,AND,B300000000AND1111111
BFV,VUT,P100000000VUT1111111
UEP,OMN,D400000000OMN1111111
JGY,URY,G000000000URY1111111
LYW,PLW,J300000000PLW1111111
UJU,KEN,Q300000000KEN1111111
GXP,TCA,D200000000TCA1111111
ANU,GUF,A200000000GUF1111111
UAJ,LBY,P000000000LBY1111111
ALO,CHN,B200000000CHN1111111
AYW,CUW,S300000000CUW1111111
RVH,COM,T100000000COM1111111
JTU,ESP,J300000000ESP1111111
MLN,ALB,I400000000ALB1111111
WFQ,BGD,R200000000BGD1111111
XSJ,NGA,L200000000NGA1111111
KXH,PRI,F400000000PRI1111111
PSQ,TLS,A200000000TLS1111111
KWB,HND,D300000000HND1111111
VDG,PRK,R300000000PRK1111111
RIJ,GBR,J300000000GBR1111111
SGZ,ISL,M300000000ISL1111111
EHH,DEU,N400000000DEU1111111
AXV,AUS,A400000000AUS1111111
DVV,VNM,E100000000VNM1111111
RDU,SPM,K100000000SPM1111111
REV,BTN,C200000000BTN1111111
EPN,BES,A400000000BES1111111
VTQ,WSM,B000000000WSM1111111
RAB,GNB,J000000000GNB1111111
NGJ,FRO,R100000000FRO1111111
BRB,DNK,N100000000DNK1111111
QCH,IRQ,L200000000IRQ1111111
YWA,TUN,Q100000000TUN1111111
ODY,NFK,K000000000NFK1111111
HTS,IRL,E100000000IRL1111111
CKE,CUB,D100000000CUB1111111
IZA,ZWE,J000000000ZWE1111111
TKS,OMN,C400000000OMN1111111
PZJ,MYT,D400000000MYT1111111
SCG,FLK,L000000000FLK1111111
IGX,BHS,F400000000BHS1111111
FIW,NCL,T000000000NCL1111111
DSO,HKG,O400000000HKG1111111
XOY,ARE,P300000000ARE1111111
BUL,VIR,H100000000VIR1111111
EBR,SYC,P000000000SYC1111111
ZHA,MSR,O300000000MSR1111111
YGD,UZB,A000000000UZB1111111
AGZ,HUN,B200000000HUN1111111
YVL,VCT,G200000000VCT1111111
DMB,GTM,J000000000GTM1111111
NKM,GTM,M400000000GTM1111111
SKK,GEO,L100000000GEO1111111
VYC,ISL,M100000000ISL1111111
ULX,BFA,O200000000BFA1111111
TVD,MHL,B100000000MHL1111111
DAB,HKG,K200000000HKG1111111
FVA,MTQ,R000000000MTQ1111111
POE,BGR,J000000000BGR1111111
PWW,NER,D300000000NER1111111
WOC,OMN,Q200000000OMN1111111
RWG,GUF,G000000000GUF1111111
HYT,FRA,D100000000FRA1111111
AUR,IND,E100000000IND1111111
OMD,AFG,Q300000000AFG1111111
IMK,MAF,Q100000000MAF1111111
LLX,VUT,L400000000VUT1111111
ADO,UMI,D300000000UMI1111111
TGO,BTN,A300000000BTN1111111
LAE,IOT,T400000000IOT1111111
YSB,LBR,F000000000LBR1111111
AGE,MRT,C100000000MRT1111111
QOY,MTQ,P200000000MTQ1111111
IQD,USA,N200000000USA1111111
LVK,SLB,I200000000SLB1111111
CWW,GRL,F300000000GRL1111111
ISA,JOR,J400000000JOR1111111
DQV,IRL,J200000000IRL1111111
GBX,AUS,M200000000AUS1111111
LYH,SJM,B300000000SJM1111111
HBP,SRB,N000000000SRB1111111
YJH,SYR,R200000000SYR1111111
XWT,JPN,N200000000JPN1111111
WLI,MYT,S300000000MYT1111111
QVT,MNP,F000000000MNP1111111
XJI,LBN,F300000000LBN1111111
XNI,CMR,H100000000CMR1111111
ENB,VIR,C300000000VIR1111111
JNM,NLD,M100000000NLD1111111
LOU,HMD,I000000000HMD1111111
FOA,BRB,F400000000BRB1111111
XSI,CMR,G300000000CMR1111111
RAQ,FRA,R000000000FRA1111111
WLX,BEL,A300000000BEL1111111
THT,VAT,G200000000VAT1111111
QRQ,ATF,M100000000ATF1111111
XOD,TCA,J000000000TCA1111111
HNW,SPM,O200000000SPM1111111
FBI,MWI,G000000000MWI1111111
CCK,BWA,K400000000BWA1111111
USU,NLD,T300000000NLD1111111
KEA,GHA,C400000000GHA1111111
VFT,CRI,O200000000CRI1111111
KCV,POL,L200000000POL1111111
PES,CYM,O200000000CYM1111111
YJO,MHL,S400000000MHL1111111
QDK,LBY,D300000000LBY1111111
UZH,CYM,K000000000CYM1111111
ATY,MAR,E400000000MAR1111111
OMB,MNP,G100000000MNP1111111
JZA,JAM,J300000000JAM1111111
PII,TUN,J300000000TUN1111111
OOK,BES,E200000000BES1111111
YCC,BLM,P000000000BLM1111111
BVI,NCL,N400000000NCL1111111
YIA,NRU,N300000000NRU1111111
QLW,SVN,P200000000SVN1111111
PUE,EST,H300000000EST1111111
EQR,TWN,D000000000TWN1111111
JYQ,LAO,L300000000LAO1111111
TCX,HKG,G300000000HKG1111111
MWF,CCK,P100000000CCK1111111
MHI,PNG,N100000000PNG1111111
WCG,NPL,N300000000NPL1111111
UUV,NOR,O200000000NOR1111111
BVR,MHL,F100000000MHL1111111
AYC,SLB,F400000000SLB1111111
USE,MYT,E400000000MYT1111111
OZO,SUR,M400000000SUR1111111
PGQ,GTM,E400000000GTM1111111
CTM,CUW,R300000000CUW1111111
PKT,CHL,E200000000CHL1111111
OZM,HUN,Q400000000HUN1111111
RFA,BDI,T000000000BDI1111111
NNG,FRA,L100000000FRA1111111
QJJ,KHM,E000000000KHM1111111
ZJQ,ATF,H300000000ATF1111111
PYS,GRD,N300000000GRD1111111
RBJ,OMN,F000000000OMN1111111
XHO,TCA,T400000000TCA1111111
OHK,HUN,T200000000HUN1111111
SZK,ABW,E300000000ABW1111111
BCC,BGR,K300000000BGR1111111
PGJ,MWI,L300000000MWI1111111
CPQ,BLM,Q200000000BLM1111111
KHH,CMR,K100000000CMR1111111
NJB,NGA,P100000000NGA1111111
WTT,GRD,A100000000GRD1111111
SVC,HMD,M100000000HMD1111111
ILZ,GRC,R100000000GRC1111111
FAF,RUS,B100000000RUS1111111
EHE,TTO,K000000000TTO1111111
JHO,ALB,C000000000ALB1111111
KVX,BEN,B100000000BEN1111111
HAS,VAT,E400000000VAT1111111
EGX,VUT,R100000000VUT1111111
YYA,PYF,O100000000PYF1111111
RQQ,ALB,B000000000ALB1111111
JNF,UMI,M300000000UMI1111111
GQW,PRI,Q300000000PRI1111111
LHT,DNK,D100000000DNK1111111
JWJ,CUB,O000000000CUB1111111
NCS,PAK,L000000000PAK1111111
JUZ,FSM,T000000000FSM1111111
LOR,UGA,D300000000UGA1111111
GRW,BEL,M300000000BEL1111111
SQB,CCK,R400000000CCK1111111
OUL,NGA,B400000000NGA1111111
HVF,TJK,J000000000TJK1111111
YYP,ARE,L300000000ARE1111111
FYQ,JAM,I300000000JAM1111111
DPH,BLR,Q100000000BLR1111111
NKR,MHL,C100000000MHL1111111
NME,GUY,M100000000GUY1111111
BEV,SLB,Q200000000SLB1111111
BYV,USA,C100000000USA1111111
OTL,NIC,N200000000NIC1111111
RFQ,PNG,N000000000PNG1111111
VBS,LBY,G300000000LBY1111111
XZA,MLI,T000000000MLI1111111
WIB,NIC,D100000000NIC1111111
EFN,VNM,F000000000VNM1111111
WAT,NPL,I000000000NPL1111111
FHT,PRY,B300000000PRY1111111
LPW,BDI,H400000000BDI1111111
NNF,BRB,D300000000BRB1111111
BDO,SGP,R400000000SGP1111111
FWM,DJI,P300000000DJI1111111
TUU,NFK,E100000000NFK1111111
MZB,IRN,R000000000IRN1111111
FEO,TON,S400000000TON1111111
UTN,PRI,B200000000PRI1111111
FNZ,GEO,D200000000GEO1111111
BRU,MTQ,G000000000MTQ1111111
THP,KNA,J400000000KNA1111111
YSP,DEU,F100000000DEU1111111
BFE,REU,Q400000000REU1111111
RRF,MUS,T000000000MUS1111111
TZD,NAM,P300000000NAM1111111
CUC,LSO,P100000000LSO1111111
WTP,CRI,G000000000CRI1111111
BUD,GLP,P100000000GLP1111111
CSX,USA,R100000000USA1111111
XRQ,SVN,F100000000SVN1111111
AKR,SGP,F400000000SGP1111111
OCZ,CMR,E400000000CMR1111111
TCY,DJI,B100000000DJI1111111
MRR,GAB,H200000000GAB1111111
QQS,GRL,O200000000GRL1111111
WEA,SAU,G000000000SAU1111111
GVE,MKD,K400000000MKD1111111
EVD,PSE,T400000000PSE1111111
BOQ,TGO,A100000000TGO1111111
QRY,NOR,N400000000NOR1111111
MZK,COD,K300000000COD1111111
ZRN,PLW,K100000000PLW1111111
JKT,MDA,S300000000MDA1111111
DYO,RWA,S000000000RWA1111111
JNQ,NPL,J000000000NPL1111111
LIR,NAM,R100000000NAM1111111
HLF,BHS,H400000000BHS1111111
GBR,MDA,G300000000MDA1111111
MBN,TGO,K400000000TGO1111111
FGJ,AFG,G400000000AFG1111111
CPZ,LBY,M000000000LBY1111111
WJC,PRK,R400000000PRK1111111
ONC,LBN,D100000000LBN1111111
YEE,FJI,R200000000FJI1111111
NRA,JOR,P400000000JOR1111111
PFC,PCN,K200000000PCN1111111
FHJ,FRO,A100000000FRO1111111
YDR,CYP,Q300000000CYP1111111
KOO,ESH,I000000000ESH1111111
DOU,UMI,I200000000UMI1111111
TXB,REU,B200000000REU1111111
TQQ,GHA,E400000000GHA1111111
DKD,CYM,H300000000CYM1111111
WUY,GUM,K000000000GUM1111111
SCE,EGY,S100000000EGY1111111
DEX,SVK,E200000000SVK1111111
EVV,ESP,T400000000ESP1111111
AQL,SPM,A000000000SPM1111111
RIB,STP,J000000000STP1111111
TDX,AFG,M200000000AFG1111111
VLF,PRT,C300000000PRT1111111
FFM,MKD,I200000000MKD1111111
YPN,AUT,C300000000AUT1111111
RUD,GRD,I100000000GRD1111111
QFL,ALB,L200000000ALB1111111
IZC,NLD,M400000000NLD1111111
RPZ,ITA,B200000000ITA1111111
AID,VIR,P100000000VIR1111111
YXF,SLV,J300000000SLV1111111
LRW,BMU,F100000000BMU1111111
BMK,MEX,R100000000MEX1111111
IZD,PLW,D200000000PLW1111111
APA,SVK,E000000000SVK1111111
YCG,SPM,B100000000SPM1111111
RFH,STP,K400000000STP1111111
WXU,FSM,R100000000FSM1111111
CGB,ARE,G200000000ARE1111111
SAB,KAZ,F000000000KAZ1111111
CXJ,YEM,M200000000YEM1111111
GVD,JOR,O000000000JOR1111111
YGG,SDN,P400000000SDN1111111
RYK,POL,R000000000POL1111111
OAI,GNQ,D400000000GNQ1111111
AAP,REU,F400000000REU1111111
GUN,PHL,P200000000PHL1111111
IAH,QAT,E400000000QAT1111111
PUF,MLI,J300000000MLI1111111
NOF,REU,L400000000REU1111111
QVN,MAR,E000000000MAR1111111
WVI,MNG,J000000000MNG1111111
MNA,UKR,B100000000UKR1111111
GHY,REU,O300000000REU1111111
HQJ,GNB,L300000000GNB1111111
XBF,STP,D000000000STP1111111
XAL,PRY,A200000000PRY1111111
SAG,AIA,T000000000AIA1111111
YKR,TUR,C000000000TUR1111111
DFU,EST,G400000000EST1111111
OSA,AUS,L200000000AUS1111111
MLH,CHE,G300000000CHE1111111
VKE,SMR,B200000000SMR1111111
XCC,SGS,O000000000SGS1111111
NFG,TCA,M000000000TCA1111111
VJF,YEM,I000000000YEM1111111
FQM,ESP,G400000000ESP1111111
RFS,ZMB,D200000000ZMB1111111
JYE,URY,P400000000URY1111111
FSU,LBR,S300000000LBR1111111
MYE,REU,M200000000REU1111111
RGF,MKD,G300000000MKD1111111
TNL,MMR,E000000000MMR1111111
XWV,TUN,P200000000TUN1111111
BWV,DJI,F200000000DJI1111111
RCL,TKL,I400000000TKL1111111
XED,BGR,C400000000BGR1111111
LXT,GIN,M100000000GIN1111111
ISQ,LVA,H300000000LVA1111111
NIC,GIN,A200000000GIN1111111
QVQ,GRD,R400000000GRD1111111
IFL,SLE,E200000000SLE1111111
ZUT,BES,J300000000BES1111111
IRN,CRI,F100000000CRI1111111
KMW,ATF,Q000000000ATF1111111
EDS,MDA,A100000000MDA1111111
PBX,MRT,R200000000MRT1111111
LLQ,SPM,P100000000SPM1111111
OXR,KEN,S200000000KEN1111111
WBB,GUM,K100000000GUM1111111
XTT,GUM,F200000000GUM1111111
TCR,NER,N200000000NER1111111
LCD,MSR,B100000000MSR1111111
DOH,LKA,G100000000LKA1111111
RPK,BMU,N400000000BMU1111111
UEY,CMR,P400000000CMR1111111
EEZ,SSD,F100000000SSD1111111
EKQ,COM,S100000000COM1111111
ZBM,MTQ,M300000000MTQ1111111
EJJ,FLK,A100000000FLK1111111
EKO,IDN,D100000000IDN1111111
RPG,NOR,T100000000NOR1111111
FHY,BTN,F100000000BTN1111111
UHP,KOR,E200000000KOR1111111
EBO,DJI,H100000000DJI1111111
KVK,SGS,O300000000SGS1111111
AHT,GRD,T400000000GRD1111111
AEN,MTQ,E300000000MTQ1111111
WRW,AIA,I300000000AIA1111111
IQH,FLK,K300000000FLK1111111
BIC,LBY,D200000000LBY1111111
BSX,SDN,K200000000SDN1111111
OLD,PCN,B100000000PCN1111111
TYG,HMD,I100000000HMD1111111
KPU,HTI,B100000000HTI1111111
XGT,DOM,D300000000DOM1111111
QDG,SEN,B000000000SEN1111111
TIK,NLD,H000000000NLD1111111
HQW,NCL,H200000000NCL1111111
KTH,BVT,G100000000BVT1111111
WHH,NGA,A100000000NGA1111111
OYS,ETH,R200000000ETH1111111
OFZ,CAF,B400000000CAF1111111
ACO,SYR,B300000000SYR1111111
MUE,SLE,L000000000SLE1111111
VFC,ISR,F400000000ISR1111111
EPJ,PCN,L100000000PCN1111111
